Latitude,Longitude
38.39510775,-110.78531736
38.39510998,-110.78531778
38.39511187,-110.78531812
38.39511384,-110.7853184
38.3951154,-110.78531678
38.3951163,-110.78531573
38.39511838,-110.78531732
38.39511884,-110.78531914
38.39511541,-110.7853228
38.39511293,-110.78532554
38.39511159,-110.78532725
38.39511219,-110.78532742
38.39511039,-110.78532625
38.39511062,-110.78532492
38.39511119,-110.78532385
38.39511147,-110.78532452
38.39510916,-110.78532438
38.39510876,-110.78532523
38.39515825,-110.78512772
38.39510141,-110.78532291
38.39509926,-110.78532101
38.39509467,-110.78530763
38.39509444,-110.78529717
38.3950887,-110.78529565
38.39508667,-110.78529601
38.39508488,-110.78529894
38.39508348,-110.78530656
38.39508035,-110.78531526
38.39507929,-110.78532072
38.39508051,-110.78531908
38.39508253,-110.78531729
38.39508258,-110.78531285
38.39508246,-110.78530591
38.3950803,-110.78529688
38.39507883,-110.78528791
38.39507598,-110.78527961
38.39507481,-110.78527428
38.39507372,-110.7852705
38.39507205,-110.78526836
38.39507108,-110.78526681
38.39507046,-110.78526515
38.39507045,-110.78526217
38.39506989,-110.78526007
38.39506813,-110.78525856
38.39506706,-110.78525663
38.39506391,-110.78525303
38.39506185,-110.78525019
38.39506105,-110.78524819
38.39506199,-110.78524787
38.39506277,-110.78524749
38.39506293,-110.78524614
38.39506226,-110.78524445
38.39506064,-110.78524201
38.39505921,-110.78524059
38.39505649,-110.7852377
38.39505509,-110.78523525
38.39505581,-110.78523115
38.3950568,-110.78522741
38.39505688,-110.7852249
38.39505642,-110.78522373
38.39504326,-110.78521007
38.39505529,-110.78521945
38.39505496,-110.78521919
38.39505511,-110.78521974
38.39505444,-110.78521961
38.39505367,-110.78521761
38.39505325,-110.78521317
38.39505342,-110.78520631
38.39505321,-110.78520106
38.39505466,-110.78520251
38.39505211,-110.78520285
38.39504956,-110.78520185
38.39504925,-110.78520057
38.39504837,-110.78520096
38.39504798,-110.78520642
38.39504899,-110.7852054
38.39504931,-110.78520467
38.39505108,-110.78520426
38.39505037,-110.78520589
38.39505031,-110.78520799
38.39504986,-110.78520904
38.39505171,-110.78520728
38.39505082,-110.78520622
38.39505149,-110.78520364
38.39505265,-110.78520231
38.39500426,-110.78526022
38.39505421,-110.78520171
38.39505469,-110.78519967
38.39505428,-110.78519672
38.39505584,-110.78519432
38.39505718,-110.78519186
38.39505791,-110.78518891
38.39505803,-110.7851862
38.39505778,-110.78518454
38.39505729,-110.78518323
38.39505686,-110.78518219
38.39505792,-110.78518149
38.39505842,-110.78518105
38.39505866,-110.78518097
38.39505877,-110.78518105
38.39505772,-110.78518213
38.39505415,-110.785185
38.39505113,-110.78519047
38.39505024,-110.78519689
38.39505268,-110.78520428
38.39505554,-110.78521133
38.39505606,-110.78521754
38.39505381,-110.78522396
38.39505012,-110.78522956
38.39504486,-110.78523531
38.3950387,-110.78524151
38.39504,-110.78525059
38.39504205,-110.78525715
38.39504091,-110.78525245
38.3950405,-110.78525073
38.39503629,-110.78525199
38.3950276,-110.78525154
38.39501903,-110.7852513
38.39501442,-110.78525308
38.39500628,-110.78525508
38.39499572,-110.78525749
38.39498671,-110.78525757
38.39497777,-110.78525669
38.39496748,-110.78525434
38.3949616,-110.78525137
38.39495956,-110.78524853
38.39495341,-110.78524683
38.39494201,-110.78524815
38.39493293,-110.78525142
38.39492688,-110.78525546
38.39491897,-110.78526113
38.39491421,-110.7852656
38.39491099,-110.78526833
38.39490163,-110.78526783
38.39489052,-110.78526495
38.39488099,-110.78526094
38.39487027,-110.78525373
38.39485969,-110.78524541
38.39485102,-110.78523644
38.39484142,-110.78522569
38.39483416,-110.7852189
38.39482921,-110.78521668
38.39482406,-110.78521263
38.39429903,-110.78529833
38.39429869,-110.78529357
38.39429912,-110.78526829
38.39441306,-110.78465477
38.39419974,-110.78527371
38.39420558,-110.78527247
38.39420728,-110.7852732
38.39420852,-110.78527343
38.39421002,-110.78527298
38.39421241,-110.78527278
38.39421611,-110.78527241
38.39422174,-110.78527427
38.39422837,-110.78527665
38.39423884,-110.78528007
38.39424373,-110.78528325
38.39425122,-110.78528768
38.39425996,-110.78528824
38.39426653,-110.7852855
38.39427154,-110.78528148
38.39427844,-110.78527438
38.39428297,-110.78526848
38.39428568,-110.78526222
38.39428816,-110.7852542
38.3942874,-110.78524471
38.39428548,-110.78523886
38.39428386,-110.78523631
38.39428281,-110.78523395
38.39428159,-110.7852326
38.3942808,-110.78523287
38.39428106,-110.78523397
38.39428094,-110.78523289
38.39428228,-110.78523102
38.39429094,-110.78523205
38.3943042,-110.78523737
38.39431798,-110.78524398
38.39433023,-110.78524847
38.39434147,-110.78525017
38.39435459,-110.78525232
38.3943691,-110.78525725
38.39438303,-110.78526662
38.39439633,-110.7852785
38.39440844,-110.78528999
38.39442032,-110.78530024
38.39443275,-110.7853082
38.39444516,-110.7853156
38.3944584,-110.78532245
38.39447007,-110.78533099
38.39448399,-110.78533856
38.3944995,-110.78534391
38.39451567,-110.78534779
38.39453179,-110.78534972
38.39454852,-110.78535193
38.39456457,-110.78535214
38.39457454,-110.78535008
38.39458081,-110.78534605
38.39458498,-110.78534185
38.3945894,-110.78533704
38.39459747,-110.78533085
